Scheme Name	Net Asset Value
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3867
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	10.8607
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
	
	
	
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1707.8713
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1265.3143
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	2945.1772
Invesco India Corporate Bond Fund - Direct Plan - Growth	2944.2456
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1255.7879
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1193.4073
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	2903.1697
Invesco India Corporate Bond Fund - Growth	2765.3545
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1585.0097
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1143.0576
	
	
	
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3402.0929
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1072.0942
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3276.8727
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1067.4786
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
	
	
	
Mirae Asset Corporate Bond Fund Direct Growth Plan	11.2771
Mirae Asset Corporate Bond Fund Direct IDCW	11.2753
Mirae Asset Corporate Bond Fund Regular Growth	11.1488
Mirae Asset Corporate Bond Fund Regular IDCW	11.1487
	
	
	
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0840
